Zip,Lat,Lon,AccessibilityMetric
6211RH,50.850827,5.680286,0.45706835918420646
6211RJ,50.849992,5.679181,0.4250979884695553
6211RK,50.851989,5.68448,0.5887844742746756
6211RL,50.852195,5.684531,0.5847756181843982
6211RM,50.85186,5.683187,0.5429898736216655
6211RN,50.853261,5.684951,0.5625229906099376
6211RP,50.851734,5.686258,0.6724046202139334
6211RR,50.853295,5.684566,0.5493679422945272
6211RS,50.852521,5.685277,0.6017609094801145
6211RT,50.85175,5.685967,0.6587731613243833
6211RV,50.851309,5.687381,0.7444104238229493
6211RW,50.854118,5.685682,0.5472211076171452
6211RX,50.853855,5.685128,0.5440187528198592
6211RZ,50.854052,5.688947,0.6249044125162732
6211SB,50.853601,5.6887,0.6508502801886707
6211SC,50.853893,5.689021,0.6372522704822647
6211SE,50.853389,5.689019,0.6730632346660661
6211SG,50.851768,5.689316,0.8049881941036052
6211SH,50.853191,5.688798,0.6819703879020755
6211SJ,50.85181,5.68906,0.791959324427001
6211SK,50.852535,5.689699,0.7554018796219604
6211SL,50.852395,5.687899,0.7073969766676033
6211SM,50.853009,5.68812,0.6755053698756023
6211SN,50.851673,5.688241,0.7665184693804468
6211SP,50.852698,5.687854,0.6868577536549988
6211SR,50.850971,5.689489,0.8717823524770915
6211ST,50.850726,5.688028,0.8046680667206291
6211SV,50.850186,5.686481,0.7262521391024699
6211SW,50.851072,5.689146,0.8481595484721669
6211SX,50.85087,5.687657,0.7779415540283126
6211SZ,50.850305,5.686328,0.7161753945025331
6211TA,50.850495,5.688957,0.8690639539495715
6211TB,50.850357,5.687393,0.7774737455792231
6211TC,50.849707,5.686691,0.7401877636281955
6211TD,50.849619,5.685873,0.6930297079178048
6211TE,50.847631,5.686864,0.6784604845489378
6211TG,50.848005,5.687355,0.7251818945163235
6211WB,50.854706,5.685738,0.5224743725325832
6211WC,50.854613,5.686861,0.5503954090439637
6211WD,50.854346,5.687649,0.5810548950418797
6211WE,50.854843,5.687912,0.5574964044171536
6211WH,50.85529,5.687679,0.5293985402588975
6211XA,50.854579,5.691863,0.6087972399713565
6211XB,50.854424,5.69215,0.6193838354518509
6211XC,50.853612,5.685758,0.571929550811418
6211XD,50.853283,5.686131,0.5982574142008068
6211XE,50.853208,5.685806,0.5915319969869751
6211XG,50.853511,5.686566,0.6000241664995194
6211XH,50.852742,5.686663,0.6425517484402938
6211XJ,50.853183,5.686867,0.6262916014567924
6211XK,50.852174,5.68688,0.679573237330534
6211XL,50.853596,5.685499,0.5652128461951857
6211XN,50.852559,5.683938,0.552691024458047
6211XP,50.852409,5.684083,0.5620422282524039
6211XR,50.852528,5.683896,0.5521236324058832
6211XS,50.852421,5.684138,0.5636562736013575
6211XX,50.855427,5.68911,0.539422631357269
6211XZ,50.856789,5.689502,0.468522421908125
6212AA,50.842057,5.692902,0.346721082566787
