Zip,Lat,Lon
6216CK,50.849848,5.666336
6216CL,50.84954,5.665229
6216CP,50.852323,5.660271
6216CR,50.85093,5.665117
6216CS,50.849765,5.664705
6216CT,50.84962,5.664909
6216CV,50.849347,5.664853
6216EA,50.846808,5.664906
6216EC,50.845724,5.659458
6216ED,50.845432,5.658763
6216EG,50.847606,5.669602
6216EM,50.848023,5.665225
6216EN,50.847358,5.665872
6216EP,50.847711,5.664478
6216ER,50.846697,5.667547
6216ES,50.846,5.667869
6216ET,50.848037,5.666657
6216EV,50.846877,5.666384
6216NS,50.843956,5.656239
6216NT,50.842764,5.657278
6216NV,50.844215,5.65546
6216NW,50.84357,5.656042
6216NX,50.843104,5.656495
6216NZ,50.842437,5.657182
6216PC,50.844572,5.655956
6216PD,50.84239,5.658395
6216PE,50.843097,5.659121
6216PG,50.843086,5.658537
6216PH,50.844185,5.658831
6216PJ,50.844011,5.659738
6216PK,50.843043,5.660725
6216PL,50.843922,5.66132
6216PM,50.843976,5.660544
6216PN,50.844991,5.659947
6216PP,50.844765,5.661567
6216PR,50.843434,5.65785
6216PS,50.844524,5.659637
6216PT,50.844478,5.664085
6216PV,50.844685,5.66397
6216PW,50.844943,5.663485
6216PX,50.8453,5.663135
6216PZ,50.845023,5.662983
6216RA,50.845399,5.662186
6216RB,50.845679,5.661387
6216RC,50.845384,5.661653
6216RD,50.844387,5.662373
6216RE,50.845999,5.662399
6216RG,50.846755,5.663141
6216RH,50.846337,5.661161
6216RJ,50.847274,5.663162
6216RK,50.847192,5.66346
6216RL,50.8462,5.664316
6216RM,50.845677,5.664885
6216RN,50.845237,5.665279
6216RP,50.844903,5.66529
6216RR,50.845402,5.664538
6216RS,50.846374,5.663482
6216RT,50.846995,5.662665
6216RV,50.847895,5.661448
6216RW,50.846894,5.662194
6216RX,50.845752,5.663295
6216RZ,50.847463,5.661092
6216SB,50.848291,5.660375
6216SC,50.847492,5.660335
6216SE,50.847388,5.659982
6216SG,50.847183,5.656455
6216SH,50.847803,5.656861
6216SJ,50.846866,5.65862
6216SK,50.847358,5.657739
6216SL,50.846814,5.657367
6216SM,50.846148,5.658323
6216SN,50.845741,5.657187
6216SP,50.845403,5.656309
6216SR,50.8461,5.657177
6216ST,50.846254,5.656779
6216SV,50.848238,5.662447
6216SW,50.846708,5.657972
6216SX,50.848093,5.660823
6216SZ,50.846535,5.655429
6216TA,50.847209,5.655416
